original_path,new_path,filename,file_type,category,confidence,reason,recommended_usage,alt_text_suggestion
src/assets/images/_incoming/digital-property-listing-mobile-laptop.jpg,src/assets/images/estates/digital-property-listing-mobile-laptop.jpg,digital-property-listing-mobile-laptop.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Digital property listing mobile laptop suitable for Solanique Estates.
src/assets/images/_incoming/digital-property-listings-real-estate-search.jpg,src/assets/images/estates/digital-property-listings-real-estate-search.jpg,digital-property-listings-real-estate-search.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Digital property listings real estate search suitable for Solanique Estates.
src/assets/images/_incoming/digital-real-estate-investment-hologram.jpg,src/assets/images/estates/digital-real-estate-investment-hologram.jpg,digital-real-estate-investment-hologram.jpg,image,estates,high,Filename matched estates signals with a 11 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Digital real estate investment hologram suitable for Solanique Estates.
src/assets/images/_incoming/display-case-glass-counter-cleaning-service.jpg,src/assets/images/concierge/display-case-glass-counter-cleaning-service.jpg,display-case-glass-counter-cleaning-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Display case glass counter cleaning service suitable for Solanique Concierge.
src/assets/images/_incoming/dog-bathing-pet-grooming-service.jpg,src/assets/images/concierge/dog-bathing-pet-grooming-service.jpg,dog-bathing-pet-grooming-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Dog bathing pet grooming service suitable for Solanique Concierge.
src/assets/images/_incoming/dog-costume-luxury-pet-portrait.jpg,src/assets/images/about/dog-costume-luxury-pet-portrait.jpg,dog-costume-luxury-pet-portrait.jpg,image,about,medium,Filename matched about signals.,"About page, firm positioning, leadership/editorial sections.",Dog costume luxury pet portrait suitable for the Solanique About page.
src/assets/images/_incoming/dog-do-not-disturb-hotel-bed.jpg,src/assets/images/concierge/dog-do-not-disturb-hotel-bed.jpg,dog-do-not-disturb-hotel-bed.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Dog do not disturb hotel bed suitable for Solanique Concierge.
src/assets/images/_incoming/dog-walking-pet-care-service.eps,src/assets/images/_review/dog-walking-pet-care-service.eps,dog-walking-pet-care-service.eps,unsupported,review,low,"Unsupported image file extension "".eps"".",Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/dry-cleaning-suit-garment-care-service.jpg,src/assets/images/concierge/dry-cleaning-suit-garment-care-service.jpg,dry-cleaning-suit-garment-care-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Dry cleaning suit garment care service suitable for Solanique Concierge.
src/assets/images/_incoming/equestrian-property-horses-farm-fence.jpg,src/assets/images/estates/equestrian-property-horses-farm-fence.jpg,equestrian-property-horses-farm-fence.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Equestrian property horses farm fence suitable for Solanique Estates.
src/assets/images/_incoming/french-bulldog-luxury-celebration-portrait.jpg,src/assets/images/about/french-bulldog-luxury-celebration-portrait.jpg,french-bulldog-luxury-celebration-portrait.jpg,image,about,medium,Filename matched about signals.,"About page, firm positioning, leadership/editorial sections.",French bulldog luxury celebration portrait suitable for the Solanique About page.
src/assets/images/_incoming/french-bulldog-party-glass-pet-portrait.jpg,src/assets/images/about/french-bulldog-party-glass-pet-portrait.jpg,french-bulldog-party-glass-pet-portrait.jpg,image,about,medium,Filename matched about signals.,"About page, firm positioning, leadership/editorial sections.",French bulldog party glass pet portrait suitable for the Solanique About page.
src/assets/images/_incoming/french-bulldog-phone-customer-service.jpg,src/assets/images/concierge/french-bulldog-phone-customer-service.jpg,french-bulldog-phone-customer-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",French bulldog phone customer service suitable for Solanique Concierge.
src/assets/images/_incoming/garden-patio-outdoor-living-entertaining-space.jpg,src/assets/images/_review/garden-patio-outdoor-living-entertaining-space.jpg,garden-patio-outdoor-living-entertaining-space.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/garden-walkway-landscape-lighting-night.jpg,src/assets/images/_review/garden-walkway-landscape-lighting-night.jpg,garden-walkway-landscape-lighting-night.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/gold-light-particles-luxury-background.jpg,src/assets/images/backgrounds/gold-light-particles-luxury-background.jpg,gold-light-particles-luxury-background.jpg,image,backgrounds,high,Filename matched backgrounds signals.,"Decorative backgrounds, CTA overlays, abstract section visuals.",""""""
src/assets/images/_incoming/grey-cat-pet-friendly-home.jpg,src/assets/images/estates/grey-cat-pet-friendly-home.jpg,grey-cat-pet-friendly-home.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Grey cat pet friendly home suitable for Solanique Estates.
src/assets/images/_incoming/hotel-arrival-luggage-welcome-drink-sunset.jpg,src/assets/images/concierge/hotel-arrival-luggage-welcome-drink-sunset.jpg,hotel-arrival-luggage-welcome-drink-sunset.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Hotel arrival luggage welcome drink sunset suitable for Solanique Concierge.
src/assets/images/_incoming/hotel-housekeeping-bed-making-service.jpg,src/assets/images/concierge/hotel-housekeeping-bed-making-service.jpg,hotel-housekeeping-bed-making-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Hotel housekeeping bed making service suitable for Solanique Concierge.
src/assets/images/_incoming/hotel-housekeeping-making-bed-service.jpg,src/assets/images/concierge/hotel-housekeeping-making-bed-service.jpg,hotel-housekeeping-making-bed-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Hotel housekeeping making bed service suitable for Solanique Concierge.
src/assets/images/_incoming/hotel-laundry-bag-pickup-service.jpg,src/assets/images/concierge/hotel-laundry-bag-pickup-service.jpg,hotel-laundry-bag-pickup-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Hotel laundry bag pickup service suitable for Solanique Concierge.
src/assets/images/_incoming/hotel-reception-desk-service-bell.jpg,src/assets/images/concierge/hotel-reception-desk-service-bell.jpg,hotel-reception-desk-service-bell.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Hotel reception desk service bell suitable for Solanique Concierge.
src/assets/images/_incoming/hotel-receptionist-phone-customer-service.jpg,src/assets/images/concierge/hotel-receptionist-phone-customer-service.jpg,hotel-receptionist-phone-customer-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Hotel receptionist phone customer service suitable for Solanique Concierge.
src/assets/images/_incoming/hotel-room-welcome-towels-housekeeping-service.jpg,src/assets/images/concierge/hotel-room-welcome-towels-housekeeping-service.jpg,hotel-room-welcome-towels-housekeeping-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Hotel room welcome towels housekeeping service suitable for Solanique Concierge.
src/assets/images/_incoming/housekeeping-towel-service-luxury-home.jpg,src/assets/images/estates/housekeeping-towel-service-luxury-home.jpg,housekeeping-towel-service-luxury-home.jpg,image,estates,medium,Filename matched estates signals with a 0 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Housekeeping towel service luxury home suitable for Solanique Estates.
src/assets/images/_incoming/illuminated-commercial-office-buildings-night.jpg,src/assets/images/about/illuminated-commercial-office-buildings-night.jpg,illuminated-commercial-office-buildings-night.jpg,image,about,medium,Filename matched about signals.,"About page, firm positioning, leadership/editorial sections.",Illuminated commercial office buildings night suitable for the Solanique About page.
src/assets/images/_incoming/image-renaming-map-batch-5.csv,src/assets/images/_review/image-renaming-map-batch-5.csv,image-renaming-map-batch-5.csv,unsupported,review,low,"Unsupported image file extension "".csv"".",Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/landscape-design-flower-garden-modern-yard.jpg,src/assets/images/_review/landscape-design-flower-garden-modern-yard.jpg,landscape-design-flower-garden-modern-yard.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/landscaped-garden-outdoor-patio-workspace.jpg,src/assets/images/_review/landscaped-garden-outdoor-patio-workspace.jpg,landscaped-garden-outdoor-patio-workspace.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/london-commercial-real-estate-financial-district.jpg,src/assets/images/estates/london-commercial-real-estate-financial-district.jpg,london-commercial-real-estate-financial-district.jpg,image,estates,high,Filename matched estates signals with a 11 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",London commercial real estate financial district suitable for Solanique Estates.
src/assets/images/_incoming/luxury-backyard-pool-fire-feature-patio.jpg,src/assets/images/estates/luxury-backyard-pool-fire-feature-patio.jpg,luxury-backyard-pool-fire-feature-patio.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Luxury backyard pool fire feature patio suitable for Solanique Estates.
src/assets/images/_incoming/luxury-backyard-pool-garden-landscaping.jpg,src/assets/images/estates/luxury-backyard-pool-garden-landscaping.jpg,luxury-backyard-pool-garden-landscaping.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Luxury backyard pool garden landscaping suitable for Solanique Estates.
src/assets/images/_incoming/luxury-bedroom-housekeeping-pillow-service.jpg,src/assets/images/concierge/luxury-bedroom-housekeeping-pillow-service.jpg,luxury-bedroom-housekeeping-pillow-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Luxury bedroom housekeeping pillow service suitable for Solanique Concierge.
src/assets/images/_incoming/luxury-black-car-headlights-transportation.jpg,src/assets/images/concierge/luxury-black-car-headlights-transportation.jpg,luxury-black-car-headlights-transportation.jpg,image,concierge,medium,Filename matched concierge signals with a 0 point margin.,"Solanique Concierge sections, lifestyle coordination visuals.",Luxury black car headlights transportation suitable for Solanique Concierge.
src/assets/images/_incoming/luxury-car-exterior-polished-detailing-finish.jpg,src/assets/images/estates/luxury-car-exterior-polished-detailing-finish.jpg,luxury-car-exterior-polished-detailing-finish.jpg,image,estates,medium,Filename matched estates signals with a 0 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Luxury car exterior polished detailing finish suitable for Solanique Estates.
src/assets/images/_incoming/luxury-home-exterior-night-lighting.jpg,src/assets/images/estates/luxury-home-exterior-night-lighting.jpg,luxury-home-exterior-night-lighting.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Luxury home exterior night lighting suitable for Solanique Estates.
src/assets/images/_incoming/luxury-housekeeping-bedroom-towel-service.jpg,src/assets/images/concierge/luxury-housekeeping-bedroom-towel-service.jpg,luxury-housekeeping-bedroom-towel-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Luxury housekeeping bedroom towel service suitable for Solanique Concierge.
src/assets/images/_incoming/luxury-pug-pet-fashion-portrait.jpg,src/assets/images/about/luxury-pug-pet-fashion-portrait.jpg,luxury-pug-pet-fashion-portrait.jpg,image,about,medium,Filename matched about signals.,"About page, firm positioning, leadership/editorial sections.",Luxury pug pet fashion portrait suitable for the Solanique About page.
src/assets/images/_incoming/luxury-real-estate-modern-glass-building.jpg,src/assets/images/estates/luxury-real-estate-modern-glass-building.jpg,luxury-real-estate-modern-glass-building.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Luxury real estate modern glass building suitable for Solanique Estates.
src/assets/images/_incoming/luxury-yacht-cleaning-maintenance-service.jpg,src/assets/images/concierge/luxury-yacht-cleaning-maintenance-service.jpg,luxury-yacht-cleaning-maintenance-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Luxury yacht cleaning maintenance service suitable for Solanique Concierge.
src/assets/images/_incoming/maine-coon-kittens-pet-portrait.jpg,src/assets/images/about/maine-coon-kittens-pet-portrait.jpg,maine-coon-kittens-pet-portrait.jpg,image,about,medium,Filename matched about signals.,"About page, firm positioning, leadership/editorial sections.",Maine coon kittens pet portrait suitable for the Solanique About page.
src/assets/images/_incoming/modern-bathroom-amenities-towel-service.jpg,src/assets/images/concierge/modern-bathroom-amenities-towel-service.jpg,modern-bathroom-amenities-towel-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Modern bathroom amenities towel service suitable for Solanique Concierge.
src/assets/images/_incoming/modern-bathroom-remodel-before-after.jpg,src/assets/images/_review/modern-bathroom-remodel-before-after.jpg,modern-bathroom-remodel-before-after.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/modern-glass-commercial-building-architecture.jpg,src/assets/images/estates/modern-glass-commercial-building-architecture.jpg,modern-glass-commercial-building-architecture.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Modern glass commercial building architecture suitable for Solanique Estates.
src/assets/images/_incoming/modern-home-exterior-landscape-lighting.jpg,src/assets/images/estates/modern-home-exterior-landscape-lighting.jpg,modern-home-exterior-landscape-lighting.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Modern home exterior landscape lighting suitable for Solanique Estates.
src/assets/images/_incoming/modern-office-towers-commercial-real-estate.jpg,src/assets/images/estates/modern-office-towers-commercial-real-estate.jpg,modern-office-towers-commercial-real-estate.jpg,image,estates,high,Filename matched estates signals with a 11 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Modern office towers commercial real estate suitable for Solanique Estates.
src/assets/images/_incoming/mortgage-contract-real-estate-closing.jpg,src/assets/images/estates/mortgage-contract-real-estate-closing.jpg,mortgage-contract-real-estate-closing.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Mortgage contract real estate closing suitable for Solanique Estates.
src/assets/images/_incoming/new-home-keys-front-door.jpg,src/assets/images/estates/new-home-keys-front-door.jpg,new-home-keys-front-door.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",New home keys front door suitable for Solanique Estates.
src/assets/images/_incoming/online-property-search-real-estate-technology.jpg,src/assets/images/estates/online-property-search-real-estate-technology.jpg,online-property-search-real-estate-technology.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Online property search real estate technology suitable for Solanique Estates.
src/assets/images/_incoming/online-real-estate-platform-property-search.jpg,src/assets/images/estates/online-real-estate-platform-property-search.jpg,online-real-estate-platform-property-search.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Online real estate platform property search suitable for Solanique Estates.
src/assets/images/_incoming/orange-cat-sleeping-cozy-blanket.jpg,src/assets/images/_review/orange-cat-sleeping-cozy-blanket.jpg,orange-cat-sleeping-cozy-blanket.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/outdoor-fire-pit-glass-rocks-patio-feature.jpg,src/assets/images/_review/outdoor-fire-pit-glass-rocks-patio-feature.jpg,outdoor-fire-pit-glass-rocks-patio-feature.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/pet-friendly-luxury-room-dog-beds.jpg,src/assets/images/_review/pet-friendly-luxury-room-dog-beds.jpg,pet-friendly-luxury-room-dog-beds.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/pressure-washing-wood-deck-cleaning-service.jpg,src/assets/images/concierge/pressure-washing-wood-deck-cleaning-service.jpg,pressure-washing-wood-deck-cleaning-service.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Pressure washing wood deck cleaning service suitable for Solanique Concierge.
src/assets/images/_incoming/property-management-real-estate-icons-laptop.jpg,src/assets/images/estates/property-management-real-estate-icons-laptop.jpg,property-management-real-estate-icons-laptop.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Property management real estate icons laptop suitable for Solanique Estates.
src/assets/images/_incoming/proptech-real-estate-portfolio-analytics.jpg,src/assets/images/estates/proptech-real-estate-portfolio-analytics.jpg,proptech-real-estate-portfolio-analytics.jpg,image,estates,high,Filename matched estates signals with a 11 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Proptech real estate portfolio analytics suitable for Solanique Estates.
src/assets/images/_incoming/proptech-smart-home-network-analytics.jpg,src/assets/images/estates/proptech-smart-home-network-analytics.jpg,proptech-smart-home-network-analytics.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Proptech smart home network analytics suitable for Solanique Estates.
src/assets/images/_incoming/rabbit-rotary-phone-pet-service-call.jpg,src/assets/images/concierge/rabbit-rotary-phone-pet-service-call.jpg,rabbit-rotary-phone-pet-service-call.jpg,image,concierge,medium,Filename matched concierge signals.,"Solanique Concierge sections, lifestyle coordination visuals.",Rabbit rotary phone pet service call suitable for Solanique Concierge.
src/assets/images/_incoming/real-estate-agent-showing-home-buyers.jpg,src/assets/images/estates/real-estate-agent-showing-home-buyers.jpg,real-estate-agent-showing-home-buyers.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Real estate agent showing home buyers suitable for Solanique Estates.
src/assets/images/_incoming/real-estate-contract-handshake-closing.jpg,src/assets/images/estates/real-estate-contract-handshake-closing.jpg,real-estate-contract-handshake-closing.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Real estate contract handshake closing suitable for Solanique Estates.
src/assets/images/_incoming/real-estate-law-home-key-closing.jpg,src/assets/images/estates/real-estate-law-home-key-closing.jpg,real-estate-law-home-key-closing.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Real estate law home key closing suitable for Solanique Estates.
src/assets/images/_incoming/real-estate-market-analysis-digital-dashboard.jpg,src/assets/images/estates/real-estate-market-analysis-digital-dashboard.jpg,real-estate-market-analysis-digital-dashboard.jpg,image,estates,high,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Real estate market analysis digital dashboard suitable for Solanique Estates.
src/assets/images/_incoming/real-estate-market-data-city-skyline.jpg,src/assets/images/estates/real-estate-market-data-city-skyline.jpg,real-estate-market-data-city-skyline.jpg,image,estates,high,Filename matched estates signals with a 9 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Real estate market data city skyline suitable for Solanique Estates.
src/assets/images/_incoming/residential-property-landscaping-curb-appeal.jpg,src/assets/images/estates/residential-property-landscaping-curb-appeal.jpg,residential-property-landscaping-curb-appeal.jpg,image,estates,medium,Filename matched estates signals.,"Solanique Estates sections, property advisory visuals, real estate content.",Residential property landscaping curb appeal suitable for Solanique Estates.
src/assets/images/_incoming/savannah-cat-indoor-pet-portrait.jpg,src/assets/images/about/savannah-cat-indoor-pet-portrait.jpg,savannah-cat-indoor-pet-portrait.jpg,image,about,medium,Filename matched about signals.,"About page, firm positioning, leadership/editorial sections.",Savannah cat indoor pet portrait suitable for the Solanique About page.
src/assets/images/_incoming/siamese-cat-broken-plant-pot-mess.jpg,src/assets/images/_review/siamese-cat-broken-plant-pot-mess.jpg,siamese-cat-broken-plant-pot-mess.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/skincare-beauty-products-gift-box.jpg,src/assets/images/_review/skincare-beauty-products-gift-box.jpg,skincare-beauty-products-gift-box.jpg,image,review,low,Filename does not provide enough context for safe automatic classification.,Needs human review before use.,Needs human review before alt text is assigned.
src/assets/images/_incoming/smart-city-real-estate-development-map.jpg,src/assets/images/estates/smart-city-real-estate-development-map.jpg,smart-city-real-estate-development-map.jpg,image,estates,high,Filename matched estates signals with a 13 point margin.,"Solanique Estates sections, property advisory visuals, real estate content.",Smart city real estate development map suitable for Solanique Estates.
